class,problem,cost,time
0,0,218.55436723718105,0.06793642044067383
0,1,198.17012492572218,0.02069091796875
0,2,188.53445101693123,0.016125917434692383
0,3,260.94797264117676,0.017272472381591797
0,4,240.22582062062887,0.06653976440429688
0,5,150.9869590795084,0.01704549789428711
0,6,237.08605559822664,0.014712095260620117
0,7,299.43485670247975,0.013577461242675781
0,8,122.8412014530025,0.0186769962310791
0,9,207.13952194556003,0.014571905136108398
1,0,194.16633319026653,0.015344858169555664
1,1,252.01707949337893,0.017169952392578125
1,2,223.66270951590118,0.01604151725769043
1,3,104.30276852399042,0.017780065536499023
1,4,277.81858647367955,0.015961408615112305
1,5,200.38952949932198,0.016292810440063477
1,6,285.4872128903426,0.01649785041809082
1,7,379.7626767604338,0.015765666961669922
1,8,200.26639596322983,0.01691746711730957
1,9,188.95366414814407,0.01570749282836914
2,0,213.50726773543238,0.016538381576538086
2,1,260.8873933359306,0.01558375358581543
2,2,270.76593491551915,0.015745162963867188
2,3,180.66354584359192,0.017729520797729492
2,4,305.701297599261,0.019619464874267578
2,5,138.22551266195742,0.015407323837280273
2,6,169.4333049626709,0.015285730361938477
2,7,113.07403089951413,0.016944169998168945
2,8,137.82815183098896,0.01595759391784668
2,9,161.21450960596522,0.016197919845581055
3,0,140.81824523998768,0.01666426658630371
3,1,137.10256529741613,0.017687320709228516
3,2,192.93785394227183,0.018749713897705078
3,3,221.3867973524891,0.01566910743713379
3,4,242.15496600276873,0.01957082748413086
3,5,258.5203495191418,0.017507314682006836
3,6,205.90661536319823,0.01470947265625
3,7,318.0058596583167,0.016442298889160156
3,8,147.49087107239558,0.014159917831420898
3,9,94.27727094142234,0.016480684280395508
4,0,207.26182239444972,0.016531705856323242
4,1,206.30150488789366,0.016596078872680664
4,2,112.32432220012913,0.01751995086669922
4,3,187.84986349307675,0.015955448150634766
4,4,273.3616073851027,0.0686349868774414
4,5,228.15149203308127,0.014324188232421875
4,6,208.41865352076852,0.012073278427124023
4,7,167.00391537907288,0.01096796989440918
4,8,196.47460987747544,0.0116119384765625
4,9,245.17857126750297,0.013456106185913086
5,0,236.99027004059852,0.01463460922241211
5,1,195.72489302848444,0.014530658721923828
5,2,247.85294207689716,0.014306306838989258
5,3,261.1099527972755,0.014969587326049805
5,4,145.8095912352073,0.015492677688598633
5,5,157.97667223487977,0.015306711196899414
5,6,227.61316895733424,0.014712095260620117
5,7,211.97719515242062,0.01605987548828125
5,8,174.50548262831862,0.01531982421875
5,9,205.13905910892836,0.014354228973388672
6,0,236.5666057756971,0.015938520431518555
6,1,269.4938175651456,0.014751911163330078
6,2,151.37138439935157,0.01687765121459961
6,3,315.49291142479007,0.016011476516723633
6,4,151.46920434014777,0.017049074172973633
6,5,155.12659479093105,0.016089677810668945
6,6,237.30994844298692,0.014731645584106445
6,7,191.55272305926582,0.01781010627746582
6,8,416.5990092490218,0.014935016632080078
6,9,233.94866914932084,0.01766061782836914
7,0,169.10233024027244,0.01620340347290039
7,1,188.60062499722193,0.01407933235168457
7,2,228.8154968693048,0.016425609588623047
7,3,266.20264562716955,0.015451669692993164
7,4,196.6155007134938,0.01672077178955078
7,5,181.81221876407315,0.015523910522460938
7,6,277.44575755290225,0.014771461486816406
7,7,163.65736075787328,0.016487836837768555
7,8,266.7587233994962,0.017249584197998047
7,9,181.17361645253447,0.015237092971801758
8,0,225.41482562844539,0.01600956916809082
8,1,104.14610898722778,0.017800331115722656
8,2,144.85853404412148,0.015326738357543945
8,3,214.05124544746968,0.017750978469848633
8,4,238.90963667926079,0.015547752380371094
8,5,176.70821141535095,0.017921924591064453
8,6,130.16903834963728,0.01738429069519043
8,7,179.88614273118512,0.01563549041748047
8,8,234.32753541505528,0.014306783676147461
8,9,272.24704593386355,0.017270565032958984
9,0,173.85788788561624,0.015407800674438477
9,1,158.3038692619771,0.014724254608154297
9,2,240.27759490509635,0.015758514404296875
9,3,136.46293268502856,0.014853715896606445
9,4,200.6639858615635,0.018886327743530273
9,5,229.60577440090515,0.014485359191894531
9,6,187.7288795971458,0.01560521125793457
9,7,209.95917887655585,0.013397693634033203
9,8,243.85402589175914,0.0158233642578125
9,9,228.0788000857321,0.0644221305847168
